Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1745901661,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1745901662,1,,Aggregated,0.000000,0.000000,960,960,960,960,960,960,960,960,960,960,960,1,0,960.8462000000006,960.8462000000006,960.8462000000006,960.8462000000006,274.0
1745901663,1,,Aggregated,0.000000,0.000000,960,960,960,960,960,960,960,960,960,960,960,1,0,960.8462000000006,960.8462000000006,960.8462000000006,960.8462000000006,274.0
1745901664,1,,Aggregated,0.000000,0.000000,960,960,960,960,960,960,960,960,960,960,960,2,0,140.0,550.1842000000004,139.52220000000005,960.8462000000006,166.0
1745901665,1,,Aggregated,0.000000,0.000000,960,960,960,960,960,960,960,960,960,960,960,2,0,140.0,550.1842000000004,139.52220000000005,960.8462000000006,166.0
1745901666,1,,Aggregated,0.000000,0.000000,960,960,960,960,960,960,960,960,960,960,960,2,0,140.0,550.1842000000004,139.52220000000005,960.8462000000006,166.0
1745901667,1,,Aggregated,0.500000,0.000000,140,140,960,960,960,960,960,960,960,960,960,3,0,140.0,397.62883333333343,92.51809999999949,960.8462000000006,111.33333333333333
1745901668,1,,Aggregated,0.500000,0.000000,140,140,960,960,960,960,960,960,960,960,960,3,0,140.0,397.62883333333343,92.51809999999949,960.8462000000006,111.33333333333333
1745901669,1,,Aggregated,0.500000,0.000000,140,140,960,960,960,960,960,960,960,960,960,3,0,140.0,397.62883333333343,92.51809999999949,960.8462000000006,111.33333333333333
1745901670,1,,Aggregated,0.428571,0.000000,140,140,960,960,960,960,960,960,960,960,960,4,0,110.0,324.58037500000006,92.51809999999949,960.8462000000006,5449.5
1745901671,1,,Aggregated,0.428571,0.000000,140,140,960,960,960,960,960,960,960,960,960,4,0,110.0,324.58037500000006,92.51809999999949,960.8462000000006,5449.5
1745901672,1,,Aggregated,0.375000,0.000000,140,140,140,960,960,960,960,960,960,960,960,5,0,140.0,286.8502200000002,92.51809999999949,960.8462000000006,4507.8
1745901673,1,,Aggregated,0.375000,0.000000,140,140,140,960,960,960,960,960,960,960,960,5,0,140.0,286.8502200000002,92.51809999999949,960.8462000000006,4507.8
1745901674,1,,Aggregated,0.375000,0.000000,140,140,140,960,960,960,960,960,960,960,960,5,0,140.0,286.8502200000002,92.51809999999949,960.8462000000006,4507.8
1745901675,1,,Aggregated,0.500000,0.000000,140,140,140,140,960,960,960,960,960,960,960,6,0,110.0,247.88506666666703,53.05930000000103,960.8462000000006,3756.8333333333335
1745901676,1,,Aggregated,0.500000,0.000000,140,140,140,140,960,960,960,960,960,960,960,6,0,110.0,247.88506666666703,53.05930000000103,960.8462000000006,3756.8333333333335
1745901677,1,,Aggregated,0.400000,0.000000,110,140,140,140,960,960,960,960,960,960,960,7,0,110.0,217.13181428571463,32.61230000000026,960.8462000000006,3326.0
1745901678,1,,Aggregated,0.400000,0.000000,110,140,140,140,960,960,960,960,960,960,960,7,0,110.0,217.13181428571463,32.61230000000026,960.8462000000006,3326.0
1745901679,1,,Aggregated,0.400000,0.000000,110,140,140,140,960,960,960,960,960,960,960,8,0,93,196.4542875000004,32.61230000000026,960.8462000000006,3002.875
1745901680,1,,Aggregated,0.400000,0.000000,110,140,140,140,960,960,960,960,960,960,960,8,0,93,196.4542875000004,32.61230000000026,960.8462000000006,3002.875
1745901681,1,,Aggregated,0.400000,0.000000,93,110,140,140,960,960,960,960,960,960,960,9,0,93,183.38736666666716,32.61230000000026,960.8462000000006,5054.111111111111
1745901682,1,,Aggregated,0.400000,0.000000,93,110,140,140,960,960,960,960,960,960,960,9,0,93,183.38736666666716,32.61230000000026,960.8462000000006,5054.111111111111
1745901683,1,,Aggregated,0.500000,0.000000,93,110,140,140,960,960,960,960,960,960,960,10,0,79,172.1802800000006,32.61230000000026,960.8462000000006,4622.8
1745901684,1,,Aggregated,0.500000,0.000000,93,110,140,140,960,960,960,960,960,960,960,10,0,79,172.1802800000006,32.61230000000026,960.8462000000006,4622.8
1745901685,1,,Aggregated,0.400000,0.000000,79,110,140,140,140,960,960,960,960,960,960,11,0,79,160.07979090909137,32.61230000000026,960.8462000000006,4202.727272727273
1745901686,1,,Aggregated,0.500000,0.000000,82,93,140,140,140,960,960,960,960,960,960,12,0,79,153.56926666666746,32.61230000000026,960.8462000000006,3857.3333333333335
1745901687,1,,Aggregated,0.500000,0.000000,82,93,140,140,140,960,960,960,960,960,960,12,0,79,153.56926666666746,32.61230000000026,960.8462000000006,3857.3333333333335
1745901688,1,,Aggregated,0.500000,0.000000,82,93,140,140,140,960,960,960,960,960,960,12,0,79,153.56926666666746,32.61230000000026,960.8462000000006,3857.3333333333335
1745901689,1,,Aggregated,0.500000,0.000000,79,93,110,140,140,960,960,960,960,960,960,13,0,79,146.91716923076962,32.61230000000026,960.8462000000006,3565.076923076923
1745901690,1,,Aggregated,0.500000,0.000000,79,93,110,140,140,960,960,960,960,960,960,13,0,79,146.91716923076962,32.61230000000026,960.8462000000006,3565.076923076923
1745901691,1,,Aggregated,0.600000,0.000000,82,110,140,140,320,960,960,960,960,960,960,14,0,79,159.24190000000013,32.61230000000026,960.8462000000006,3314.5714285714284
